schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,audit_logs,No one can delete audit logs,PERMISSIVE,authenticated,DELETE,false,
public,audit_logs,No one can update audit logs,PERMISSIVE,authenticated,UPDATE,false,
public,audit_logs,Organization members can view own audit logs,PERMISSIVE,authenticated,SELECT,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,audit_logs_archive,audit_logs_archive_no_client_access,PERMISSIVE,authenticated,ALL,false,false
public,backup_logs,Users can create backup logs for their organization,PERMISSIVE,public,INSERT,,"user_belongs_to_org(auth.uid(), organization_id)"
public,backup_logs,Users can update their organization's backup logs,PERMISSIVE,public,UPDATE,"user_belongs_to_org(auth.uid(), organization_id)",
public,backup_logs,Users can view their organization's backup logs,PERMISSIVE,public,SELECT,"user_belongs_to_org(auth.uid(), organization_id)",
public,balance_reconciliation_log,Allow select for restrictive layer,RESTRICTIVE,"anon,authenticated",SELECT,true,
public,balance_reconciliation_log,Block writes from authenticated users,RESTRICTIVE,"anon,authenticated",ALL,false,false
public,balance_reconciliation_log,org_members_recon_log_select,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,barcode_label_settings,Admins and managers can manage barcode settings,PERMISSIVE,public,ALL,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))","(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))"
public,barcode_label_settings,Users can view barcode settings in their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,barcode_sequence,Allow select for restrictive layer,RESTRICTIVE,"anon,authenticated",SELECT,true,
public,barcode_sequence,Block writes from authenticated users,RESTRICTIVE,"anon,authenticated",ALL,false,false
public,barcode_sequence,org_barcode_sequence_select,PERMISSIVE,authenticated,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,batch_stock,Org members can manage batch stock,PERMISSIVE,authenticated,ALL,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))
public,batch_stock,Org members can view batch stock,PERMISSIVE,authenticated,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,batch_stock,Service role can delete batch stock,PERMISSIVE,service_role,DELETE,true,
public,batch_stock,Service role can insert batch stock,PERMISSIVE,service_role,INSERT,,true
public,batch_stock,Service role can manage batch stock,PERMISSIVE,service_role,ALL,true,true
public,batch_stock,Service role can update batch stock,PERMISSIVE,service_role,UPDATE,true,true
public,batch_stock,org_batch_stock_all,PERMISSIVE,public,ALL,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,bill_number_sequence,Org members can manage bill sequence,PERMISSIVE,authenticated,ALL,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))
public,bill_number_sequence,Org members can view bill sequences,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,bill_number_sequence,Service role can insert sequences,PERMISSIVE,service_role,INSERT,,true
public,bill_number_sequence,Service role can manage bill sequences,PERMISSIVE,service_role,ALL,true,true
public,bill_number_sequence,Service role can update sequences,PERMISSIVE,service_role,UPDATE,true,true
public,bill_number_sequence,org_bill_sequence_all,PERMISSIVE,public,ALL,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,bill_number_sequences,org_bill_sequences,PERMISSIVE,authenticated,ALL,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,bulk_update_history,Users can insert bulk update history for their org,PERMISSIVE,public,INSERT,,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))
public,bulk_update_history,Users can view bulk update history for their org,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,chart_of_accounts,Org admins can delete chart_of_accounts,PERMISSIVE,authenticated,DELETE,"is_org_admin(auth.uid(), organization_id)",
public,chart_of_accounts,Org members can insert chart_of_accounts,PERMISSIVE,authenticated,INSERT,,"user_belongs_to_org(auth.uid(), organization_id)"
public,chart_of_accounts,Org members can update chart_of_accounts,PERMISSIVE,authenticated,UPDATE,"user_belongs_to_org(auth.uid(), organization_id)","user_belongs_to_org(auth.uid(), organization_id)"
public,chart_of_accounts,Org members can view chart_of_accounts,PERMISSIVE,authenticated,SELECT,"user_belongs_to_org(auth.uid(), organization_id)",
public,cheque_formats,Admins and managers can manage cheque formats,PERMISSIVE,public,ALL,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))","(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))"
public,cheque_formats,Users can view cheque formats in their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,commission_rules,org_commission_rules,PERMISSIVE,public,ALL,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,credit_notes,Admins and managers can update credit notes,PERMISSIVE,public,UPDATE,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))",
public,credit_notes,Admins can delete credit notes,PERMISSIVE,public,DELETE,"has_org_role(auth.uid(), organization_id, 'admin'::app_role)",
public,credit_notes,Users can create credit notes in their organizations,PERMISSIVE,public,INSERT,,"user_belongs_to_org(auth.uid(), organization_id)"
public,credit_notes,Users can view credit notes in their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,customer_advances,Admins and managers can delete advances,PERMISSIVE,authenticated,DELETE,"((organization_id IN ( SELECT om.organization_id
   FROM organization_members om
  WHERE (om.user_id = auth.uid()))) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))",
public,customer_advances,Users can insert advances for their organization,PERMISSIVE,public,INSERT,,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))"
public,customer_advances,Users can update advances for their organization,PERMISSIVE,public,UPDATE,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,customer_advances,Users can view advances for their organization,PERMISSIVE,public,SELECT,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,customer_balance_adjustments,Org members can delete adjustments,PERMISSIVE,public,DELETE,"user_belongs_to_org(auth.uid(), organization_id)",
public,customer_balance_adjustments,Org members can insert adjustments,PERMISSIVE,public,INSERT,,"user_belongs_to_org(auth.uid(), organization_id)"
public,customer_balance_adjustments,Org members can update adjustments,PERMISSIVE,public,UPDATE,"user_belongs_to_org(auth.uid(), organization_id)","user_belongs_to_org(auth.uid(), organization_id)"
public,customer_balance_adjustments,Org members can view adjustments,PERMISSIVE,public,SELECT,"user_belongs_to_org(auth.uid(), organization_id)",
public,customer_brand_discounts,Users can delete brand discounts in their org,PERMISSIVE,authenticated,DELETE,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,customer_brand_discounts,Users can insert brand discounts in their org,PERMISSIVE,authenticated,INSERT,,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))
public,customer_brand_discounts,Users can update brand discounts in their org,PERMISSIVE,authenticated,UPDATE,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,customer_brand_discounts,Users can view brand discounts in their org,PERMISSIVE,authenticated,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,customer_ledger_entries,Org members can delete customer ledger entries,PERMISSIVE,public,DELETE,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,customer_ledger_entries,Org members can insert customer ledger entries,PERMISSIVE,public,INSERT,,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))
public,customer_ledger_entries,Org members can update customer ledger entries,PERMISSIVE,public,UPDATE,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))
public,customer_ledger_entries,Org members can view customer ledger entries,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,customer_points_history,Admins and managers can update points history,PERMISSIVE,public,UPDATE,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))",
public,customer_points_history,Admins can delete points history,PERMISSIVE,public,DELETE,"has_org_role(auth.uid(), organization_id, 'admin'::app_role)",
public,customer_points_history,Users can create points history in their organizations,PERMISSIVE,public,INSERT,,"user_belongs_to_org(auth.uid(), organization_id)"
public,customer_points_history,Users can view points history in their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,customer_product_prices,Users can delete customer prices in their organization,PERMISSIVE,public,DELETE,"user_belongs_to_org(auth.uid(), organization_id)",
public,customer_product_prices,Users can insert customer prices in their organization,PERMISSIVE,public,INSERT,,"user_belongs_to_org(auth.uid(), organization_id)"
public,customer_product_prices,Users can update customer prices in their organization,PERMISSIVE,public,UPDATE,"user_belongs_to_org(auth.uid(), organization_id)",
public,customer_product_prices,Users can view customer prices in their organization,PERMISSIVE,public,SELECT,"user_belongs_to_org(auth.uid(), organization_id)",
public,customers,Admins and managers can update customers,PERMISSIVE,public,UPDATE,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))",
public,customers,Admins can delete customers,PERMISSIVE,public,DELETE,"has_org_role(auth.uid(), organization_id, 'admin'::app_role)",
public,customers,Organization members can create customers,PERMISSIVE,authenticated,INSERT,,"user_belongs_to_org(auth.uid(), organization_id)"
public,customers,Users can view customers in their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,daily_tally_snapshot,Users can delete daily tally snapshots for their org,PERMISSIVE,public,DELETE,"user_belongs_to_org(auth.uid(), organization_id)",
public,daily_tally_snapshot,Users can insert daily tally snapshots for their org,PERMISSIVE,public,INSERT,,"user_belongs_to_org(auth.uid(), organization_id)"
public,daily_tally_snapshot,Users can update daily tally snapshots for their org,PERMISSIVE,public,UPDATE,"user_belongs_to_org(auth.uid(), organization_id)",
public,daily_tally_snapshot,Users can view daily tally snapshots for their org,PERMISSIVE,public,SELECT,"user_belongs_to_org(auth.uid(), organization_id)",
public,dc_sale_transfers,Users can manage dc_sale_transfers in their org,PERMISSIVE,authenticated,ALL,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))","(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))"
public,delivery_challan_items,Users can delete challan items of their organizations,PERMISSIVE,public,DELETE,"(challan_id IN ( SELECT delivery_challans.id
   FROM delivery_challans
  WHERE (delivery_challans.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))",
public,delivery_challan_items,Users can insert challan items to their organizations,PERMISSIVE,public,INSERT,,"(challan_id IN ( SELECT delivery_challans.id
   FROM delivery_challans
  WHERE (delivery_challans.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))"
public,delivery_challan_items,Users can update challan items of their organizations,PERMISSIVE,public,UPDATE,"(challan_id IN ( SELECT delivery_challans.id
   FROM delivery_challans
  WHERE (delivery_challans.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))",
public,delivery_challan_items,Users can view challan items of their organizations,PERMISSIVE,public,SELECT,"(challan_id IN ( SELECT delivery_challans.id
   FROM delivery_challans
  WHERE (delivery_challans.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))",
public,delivery_challans,Users can delete delivery challans of their organizations,PERMISSIVE,public,DELETE,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,delivery_challans,Users can insert delivery challans to their organizations,PERMISSIVE,public,INSERT,,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))
public,delivery_challans,Users can update delivery challans of their organizations,PERMISSIVE,public,UPDATE,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,delivery_challans,Users can view delivery challans of their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,delivery_tracking,Admins and managers can manage delivery tracking,PERMISSIVE,public,ALL,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))","(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))"
public,delivery_tracking,Users can view delivery tracking in their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,drafts,Users can create their own drafts,PERMISSIVE,public,INSERT,,"(user_belongs_to_org(auth.uid(), organization_id) AND (created_by = auth.uid()))"
public,drafts,Users can delete their own drafts,PERMISSIVE,public,DELETE,"(user_belongs_to_org(auth.uid(), organization_id) AND (created_by = auth.uid()))",
public,drafts,Users can update their own drafts,PERMISSIVE,public,UPDATE,"(user_belongs_to_org(auth.uid(), organization_id) AND (created_by = auth.uid()))",
public,drafts,Users can view their own drafts,PERMISSIVE,public,SELECT,"(user_belongs_to_org(auth.uid(), organization_id) AND (created_by = auth.uid()))",
public,drift_detection_runs,Platform admin reads run log,PERMISSIVE,authenticated,SELECT,"has_role(auth.uid(), 'platform_admin'::app_role)",
public,employees,Admins and managers can manage employees,PERMISSIVE,public,ALL,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))","(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))"
public,employees,Users can view employees in their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,expense_categories,Users can create expense categories in their organization,PERMISSIVE,public,INSERT,,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))"
public,expense_categories,Users can delete expense categories in their organization,PERMISSIVE,public,DELETE,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,expense_categories,Users can update expense categories in their organization,PERMISSIVE,public,UPDATE,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,expense_categories,Users can view expense categories in their organization,PERMISSIVE,public,SELECT,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,fee_heads,org_members_fee_heads_delete,PERMISSIVE,authenticated,DELETE,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,fee_heads,org_members_fee_heads_insert,PERMISSIVE,authenticated,INSERT,,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))"
public,fee_heads,org_members_fee_heads_select,PERMISSIVE,authenticated,SELECT,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,fee_heads,org_members_fee_heads_update,PERMISSIVE,authenticated,UPDATE,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,fee_receipt_sequence,org_fee_receipt_sequence_insert,PERMISSIVE,public,INSERT,,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))"
public,fee_receipt_sequence,org_fee_receipt_sequence_select,PERMISSIVE,public,SELECT,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,fee_receipt_sequence,org_fee_receipt_sequence_update,PERMISSIVE,public,UPDATE,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,fee_schedules,org_members_fee_schedules_delete,PERMISSIVE,authenticated,DELETE,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,fee_schedules,org_members_fee_schedules_insert,PERMISSIVE,authenticated,INSERT,,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))"
public,fee_schedules,org_members_fee_schedules_select,PERMISSIVE,authenticated,SELECT,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,fee_schedules,org_members_fee_schedules_update,PERMISSIVE,authenticated,UPDATE,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,fee_structure_history,Users can insert fee structure history,PERMISSIVE,authenticated,INSERT,,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))"
public,fee_structure_history,Users can view fee structure history,PERMISSIVE,authenticated,SELECT,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,fee_structures,org_members_fee_structures_delete,PERMISSIVE,authenticated,DELETE,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,fee_structures,org_members_fee_structures_insert,PERMISSIVE,authenticated,INSERT,,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))"
public,fee_structures,org_members_fee_structures_select,PERMISSIVE,authenticated,SELECT,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,fee_structures,org_members_fee_structures_update,PERMISSIVE,authenticated,UPDATE,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,gift_redemptions,Admins can delete gift redemptions,PERMISSIVE,public,DELETE,"has_org_role(auth.uid(), organization_id, 'admin'::app_role)",
public,gift_redemptions,Users can create gift redemptions in their organizations,PERMISSIVE,public,INSERT,,"user_belongs_to_org(auth.uid(), organization_id)"
public,gift_redemptions,Users can view gift redemptions in their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,gift_rewards,Admins and managers can manage gift rewards,PERMISSIVE,public,ALL,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))","(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))"
public,gift_rewards,Users can view gift rewards in their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,import_templates,Users can delete their org templates,PERMISSIVE,public,DELETE,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,import_templates,Users can insert their org templates,PERMISSIVE,public,INSERT,,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))"
public,import_templates,Users can update their org templates,PERMISSIVE,public,UPDATE,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,import_templates,Users can view their org templates,PERMISSIVE,public,SELECT,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,invariant_daily_snapshot,Platform admins read invariant snapshots,PERMISSIVE,authenticated,SELECT,"has_role(auth.uid(), 'platform_admin'::app_role)",
public,invoice_adjustments,Org admins can delete invoice_adjustments,PERMISSIVE,authenticated,DELETE,"is_org_admin(auth.uid(), organization_id)",
public,invoice_adjustments,Org admins can update invoice_adjustments,PERMISSIVE,authenticated,UPDATE,"is_org_admin(auth.uid(), organization_id)","is_org_admin(auth.uid(), organization_id)"
public,invoice_adjustments,Org members can insert invoice_adjustments,PERMISSIVE,authenticated,INSERT,,"user_belongs_to_org(auth.uid(), organization_id)"
public,invoice_adjustments,Org members can view invoice_adjustments,PERMISSIVE,authenticated,SELECT,"user_belongs_to_org(auth.uid(), organization_id)",
public,journal_entries,Org admins can delete journal_entries,PERMISSIVE,authenticated,DELETE,"is_org_admin(auth.uid(), organization_id)",
public,journal_entries,Org admins can update journal_entries,PERMISSIVE,authenticated,UPDATE,"is_org_admin(auth.uid(), organization_id)","is_org_admin(auth.uid(), organization_id)"
public,journal_entries,Org members can insert journal_entries,PERMISSIVE,authenticated,INSERT,,"user_belongs_to_org(auth.uid(), organization_id)"
public,journal_entries,Org members can view journal_entries,PERMISSIVE,authenticated,SELECT,"user_belongs_to_org(auth.uid(), organization_id)",
public,journal_lines,Org admins can delete journal_lines,PERMISSIVE,authenticated,DELETE,"(EXISTS ( SELECT 1
   FROM journal_entries je
  WHERE ((je.id = journal_lines.journal_entry_id) AND is_org_admin(auth.uid(), je.organization_id))))",
public,journal_lines,Org admins can update journal_lines,PERMISSIVE,authenticated,UPDATE,"(EXISTS ( SELECT 1
   FROM journal_entries je
  WHERE ((je.id = journal_lines.journal_entry_id) AND is_org_admin(auth.uid(), je.organization_id))))",
public,journal_lines,Org members can insert journal_lines,PERMISSIVE,authenticated,INSERT,,"(EXISTS ( SELECT 1
   FROM journal_entries je
  WHERE ((je.id = journal_lines.journal_entry_id) AND user_belongs_to_org(auth.uid(), je.organization_id))))"
public,journal_lines,Org members can view journal_lines,PERMISSIVE,authenticated,SELECT,"(EXISTS ( SELECT 1
   FROM journal_entries je
  WHERE ((je.id = journal_lines.journal_entry_id) AND user_belongs_to_org(auth.uid(), je.organization_id))))",
public,kidzstock_barcode_swap_20260615,no client access,PERMISSIVE,public,ALL,false,false
public,ledger_opening_balances,Org admins can delete ledger opening balances,PERMISSIVE,public,DELETE,"((organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)) AND (has_role(auth.uid(), 'platform_admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'admin'::app_role)))",
public,ledger_opening_balances,Org admins can update ledger opening balances,PERMISSIVE,public,UPDATE,"((organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)) AND (has_role(auth.uid(), 'platform_admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'admin'::app_role)))",
public,ledger_opening_balances,Org members can insert ledger opening balances,PERMISSIVE,public,INSERT,,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))
public,ledger_opening_balances,Org members can view ledger opening balances,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,legacy_invoices,Admins and managers can manage legacy invoices,PERMISSIVE,public,ALL,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))","(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))"
