a;b;c;customer_id;d;e;f;g;h;i;j;sale_number;section;shape;status;voucher_number
8600;0;12800;9917dc4d-7257-43bf-abf5-7492bc79b29b;4200;0;12800;8600;completed → completed;2026-04-26;same_day 0 residual 0;INV/26-27/341;bill;RECEIPT_OVER_PARTIAL;HOLD_BALANCE_ADJUSTMENT;
1595;1595;1595;a3815bf9-b431-4d95-934a-9857c6be4fe5;1595;1595;1595;1595;completed → completed;2026-05-12;same_day 0 residual 1595;POS/26-27/851;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;OK;
763;763;763;a52e9c66-0f1c-4aa2-b0d8-7d84c0987831;763;763;763;763;completed → completed;2026-07-11;same_day 0 residual 763;POS/26-27/2250;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;OK;
2299;0;4598;ae7d0c17-8d95-459e-8bc1-62135c39a0ae;2299;2299;2299.00;2299;completed → completed;2026-04-30;same_day 0 residual 0;POS/26-27/610;bill;EXACT_DOUBLE_RECEIPT;OK;
400;1000;200;b7421872-14e6-493a-a01d-f65e8090a1f6;800;0;200;400;partial → completed;2026-09-13;same_day 0 residual 1000;POS/26-27/1851;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;HOLD_NON_ECHO_REDUNDANT;
1977;0;3954.00;c25acad2-2253-4cd0-98d4-dd2728d4d3b5;1977.00;1977;1977.00;1977;completed → completed;2026-04-19;same_day 1977.00 residual 0;POS/26-27/378;bill;EXACT_DOUBLE_RECEIPT;OK;
2250;2250;250;cbf33d65-e373-4be0-9f96-c3160f01a0f5;250;0;2250;2250;completed → completed;2026-08-09;same_day 0 residual 2250;POS/26-27/1445;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;HOLD_NON_ECHO_REDUNDANT;
12252;0;15252;daf3a60f-ef50-4d9a-822a-621d613a99a9;3000;0;12252;12252;completed → completed;2026-03-20;same_day 0 residual 0;INV/25-26/779;bill;RECEIPT_OVER_PARTIAL;HOLD_PARTIAL;
6290;6290;6290;dde74df8-fe5d-48c8-a010-d33f290b98bc;6290;6290;6290;6290;completed → completed;2026-06-16;same_day 0 residual 6290;POS/26-27/1488;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;OK;
2547;2547;2547;dde74df8-fe5d-48c8-a010-d33f290b98bc;2547;2547;2547;2547;completed → completed;2026-06-22;same_day 0 residual 2547;POS/26-27/1594;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;OK;
849;849;849;dde74df8-fe5d-48c8-a010-d33f290b98bc;849;849;849;849;completed → completed;2026-07-01;same_day 0 residual 849;POS/26-27/1714;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;OK;
2770;0;5540;dde74df8-fe5d-48c8-a010-d33f290b98bc;2770;2770;2770.00;2770;completed → completed;2026-05-12;same_day 0 residual 0;POS/26-27/853;bill;EXACT_DOUBLE_RECEIPT;OK;
5000;5000;5000;e90adfd4-0958-420f-b877-0aea636a7d4f;4000;4000;5000;5000;completed → completed;2026-04-13;same_day 1000 residual 4000;POS/26-27/270;bill;MIXED_TENDER_PLUS_RECEIPT_OVER;OK;
10400;10400;8400;eed049ad-25b0-4380-92d4-316219cd8282;8400;0;10400;10400;completed → completed;2026-07-18;same_day 0 residual 10400;POS/26-27/1947;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;HOLD_NON_ECHO_REDUNDANT;
5656.7;0;6020;fc05b0af-62b9-4519-b8c0-d90ff74d2307;363.3;0;5657;5656.7;completed → completed;2026-04-15;same_day 0 residual 0;INV/26-27/187;bill;RECEIPT_OVER_PARTIAL;HOLD_PARTIAL;
24850;0;49700;fd857b39-a7bd-4bef-9639-a5524c7d4cbf;24850;24850;24850.00;24850;completed → completed;2026-03-07;same_day 49700 residual 0;INV/25-26/821;bill;EXACT_DOUBLE_RECEIPT;OK;
3299.99990001;3300;2800;ffe63ae6-51bf-43bf-8bd5-7a17c7f7075c;2800.00009999;0;3300;3299.99990001;completed → completed;2026-08-03;same_day 0 residual 3300;POS/26-27/1411;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;HOLD_NON_ECHO_REDUNDANT;
1;;4300;02d461c8-bcf3-4303-8534-158f409eff3f;0;0;;;POS/25-26/820;;;;customer;HOLD_NON_ECHO_REDUNDANT;HOLD;
5;;18878;0616f278-8878-45fb-9dd4-ea899dfeb039;11294;4;;;POS/26-27/1787, POS/26-27/221, POS/26-27/536, POS/26-27/580, POS/26-27/70;;;;customer;HOLD_NON_ECHO_REDUNDANT | OK;HOLD;
1;;2000;1ad6cd52-ce9c-48fd-85e0-12300ddd2a70;2000;1;;;POS/26-27/416;;;;customer;OK;READY;
2;;1644.995;1b55c8fa-22cc-4b37-8e11-c6755a8dd1fa;1645;2;;;POS/26-27/1919, POS/26-27/1971;;;;customer;OK;READY;
1;;3841.713000000001;1ce7dbea-7da0-4c3b-b805-be5d39cb4779;0;0;;;INV/26-27/157;;;;customer;HOLD_NON_ECHO_REDUNDANT;HOLD;
1;;1000;1f98d2c7-28c2-417a-bdcc-0d41eccb467e;0;0;;;INV/26-27/262;;;;customer;HOLD_BALANCE_ADJUSTMENT;HOLD;
1;;50;214db117-3616-4508-ac9f-3fcbb05903e1;0;0;;;INV/25-26/1229;;;;customer;HOLD_PARTIAL;HOLD;
1;;5250;2fcbb26b-e1d5-40aa-a528-a6374cabeb43;5250;1;;;INV/26-27/1089;;;;customer;OK;READY;
1;;10000;3063c897-8909-40c9-808c-cdbb94344f40;5000;1;;;INV/25-26/799;;;;customer;HOLD_NON_ECHO_REDUNDANT;HOLD;
1;;1300;3442fa9c-0d6b-47f5-b631-4c30dc3faf46;0;0;;;INV/25-26/443;;;;customer;HOLD_BALANCE_ADJUSTMENT;HOLD;
1;;4500;3c2e5760-cc73-4b81-87f8-567fcd178448;4500;1;;;POS/26-27/513;;;;customer;OK;READY;
1;;2300;4046e7f4-ad50-43f8-9199-603520253a00;0;0;;;POS/25-26/818;;;;customer;HOLD_NON_ECHO_REDUNDANT;HOLD;
1;;5310.4;52295574-5fc4-4f03-93a7-f9dd9b3932b8;0;0;;;POS/26-27/1050;;;;customer;HOLD_NON_ECHO_REDUNDANT;HOLD;
1;;250;526460c5-f9ef-4bb7-82f5-5ca90461aeb1;250;1;;;INV/26-27/1621;;;;customer;OK;READY;
1;;639;5b80d18e-07f5-4833-8032-136a120eb433;0;0;;;INV/25-26/255;;;;customer;HOLD_PARTIAL;HOLD;
2;;1349.9995000000001;70a1d1cc-b534-49e2-8461-989b26fe1935;0;0;;;POS/26-27/1312, POS/26-27/1353;;;;customer;HOLD_NON_ECHO_REDUNDANT;HOLD;
2;;6140;71b043b8-957c-472d-98ce-203fc4e35877;6140;2;;;POS/26-27/1116, POS/26-27/292;;;;customer;OK;READY;
1;;3300;721fd1c2-29dc-486f-b543-68bfb4870ec2;3300;1;;;POS/26-27/558;;;;customer;OK;READY;
1;;3200;7383a57f-3e10-4fca-b67c-14b2fb151ec8;0;0;;;INV/25-26/733;;;;customer;HOLD_BALANCE_ADJUSTMENT;HOLD;
1;;4200;75d1295d-eaf0-4dd4-b884-f62c94e1ad18;0;0;;;POS/25-26/678;;;;customer;HOLD_NON_ECHO_REDUNDANT;HOLD;
1;;1278;7f1ca914-dd1f-4c93-8902-934513b0c1cf;0;0;;;POS/25-26/953;;;;customer;HOLD_NON_ECHO_REDUNDANT;HOLD;
1;;1205;7fb7d5d7-755b-410b-9158-444ab8f69de6;1205;1;;;POS/26-27/1047;;;;customer;OK;READY;
1;;550;83937541-7e14-4dbc-8d79-0a4dff814e4d;0;0;;;INV/25-26/1413;;;;customer;HOLD_BALANCE_ADJUSTMENT;HOLD;
1;;13700.1;8538501f-2f0b-4f69-8974-d96aaf06b682;13700;1;;;POS/26-27/808;;;;customer;OK;READY;
1;;1400;87534d47-323f-4057-ae72-6ad52095b68b;0;0;;;POS/25-26/405;;;;customer;HOLD_NON_ECHO_REDUNDANT+PARTIAL;HOLD;
1;;2495.0;9004106f-be58-4a3a-8df2-01f08ea8c569;0;0;;;POS/26-27/1322;;;;customer;HOLD_NON_ECHO_REDUNDANT;HOLD;
1;;3150;933ba20a-da65-4216-93fe-df46fbd24d06;3150;1;;;INV/26-27/1117;;;;customer;OK;READY;
1;;1800;93b947b9-fb2f-435d-bc14-d11ba93895a4;0;0;;;INV/26-27/469;;;;customer;HOLD_BALANCE_ADJUSTMENT;HOLD;
1;;4289;98529989-4d61-4fd6-b685-4832fd2583ca;0;0;;;POS/26-27/2358;;;;customer;HOLD_NON_ECHO_REDUNDANT;HOLD;
1;;4200;9917dc4d-7257-43bf-abf5-7492bc79b29b;0;0;;;INV/26-27/341;;;;customer;HOLD_BALANCE_ADJUSTMENT;HOLD;
1;;1595;a3815bf9-b431-4d95-934a-9857c6be4fe5;1595;1;;;POS/26-27/851;;;;customer;OK;READY;
1;;763;a52e9c66-0f1c-4aa2-b0d8-7d84c0987831;763;1;;;POS/26-27/2250;;;;customer;OK;READY;
1;;2299;ae7d0c17-8d95-459e-8bc1-62135c39a0ae;2299;1;;;POS/26-27/610;;;;customer;OK;READY;
1;;800;b7421872-14e6-493a-a01d-f65e8090a1f6;0;0;;;POS/26-27/1851;;;;customer;HOLD_NON_ECHO_REDUNDANT;HOLD;
1;;1977.00;c25acad2-2253-4cd0-98d4-dd2728d4d3b5;1977;1;;;POS/26-27/378;;;;customer;OK;READY;
1;;250;cbf33d65-e373-4be0-9f96-c3160f01a0f5;0;0;;;POS/26-27/1445;;;;customer;HOLD_NON_ECHO_REDUNDANT;HOLD;
1;;3000;daf3a60f-ef50-4d9a-822a-621d613a99a9;0;0;;;INV/25-26/779;;;;customer;HOLD_PARTIAL;HOLD;
4;;12456;dde74df8-fe5d-48c8-a010-d33f290b98bc;12456;4;;;POS/26-27/1488, POS/26-27/1594, POS/26-27/1714, POS/26-27/853;;;;customer;OK;READY;
1;;4000;e90adfd4-0958-420f-b877-0aea636a7d4f;4000;1;;;POS/26-27/270;;;;customer;OK;READY;
1;;8400;eed049ad-25b0-4380-92d4-316219cd8282;0;0;;;POS/26-27/1947;;;;customer;HOLD_NON_ECHO_REDUNDANT;HOLD;
1;;363.3;fc05b0af-62b9-4519-b8c0-d90ff74d2307;0;0;;;INV/26-27/187;;;;customer;HOLD_PARTIAL;HOLD;
1;;24850;fd857b39-a7bd-4bef-9639-a5524c7d4cbf;24850;1;;;INV/25-26/821;;;;customer;OK;READY;
1;;2800.00009999;ffe63ae6-51bf-43bf-8bd5-7a17c7f7075c;0;0;;;POS/26-27/1411;;;;customer;HOLD_NON_ECHO_REDUNDANT;HOLD;
43;53;177074.5075999900011;;105374;27;17;26;;;;;headline;;;
4300;0;4000;02d461c8-bcf3-4303-8534-158f409eff3f;4000;4300;;;2026-05-26 15:57 cash vdate 2026-05-26 sale 2026-02-24;5bfccba7-b4b7-4519-a653-541e6f16cc66;Payment for POS/25-26/820;POS/25-26/820;receipt;NON_ECHO_REDUNDANT;HOLD_NON_ECHO_REDUNDANT;RCP/26-27/1060
7584;0;12584;0616f278-8878-45fb-9dd4-ea899dfeb039;12584;7584;;;2026-07-31 12:58 cash vdate 2026-07-31 sale 2026-07-07;b013a93d-8683-43e1-86ef-fefdd63f2834;Payment received for POS sale POS/26-27/1787 - ;POS/26-27/1787;receipt;NON_ECHO_REDUNDANT;HOLD_NON_ECHO_REDUNDANT;RCP/26-27/3261
2745;0;2745;0616f278-8878-45fb-9dd4-ea899dfeb039;0;2745;;;2026-05-30 17:09 cash vdate 2026-05-30 sale 2026-04-11;b8e77ab0-8f0d-4a80-b482-f3d84ef4aa65;Payment received for POS sale POS/26-27/221 - ;POS/26-27/221;receipt;DUP_DOUBLE_SUBMIT;DELETE;RCP/26-27/1140
2745;2745;2745;0616f278-8878-45fb-9dd4-ea899dfeb039;0;2745;;;2026-05-07 14:35  vdate 2026-05-07 sale 2026-04-11;3aa0127e-2946-4f1c-af3e-221a1db02c2e;Payment received from ANANYA TRIPATHI for invoice POS/26-27/221;POS/26-27/221;receipt;KEEP;KEEP;RCP/26-27/12#d3aa0127e
3149;0;3149;0616f278-8878-45fb-9dd4-ea899dfeb039;0;3149;;;2026-05-30 17:08 cash vdate 2026-05-30 sale 2026-04-27;fbf0f8a7-73e4-4cd6-b305-ec3c7f6393ba;Payment received for POS sale POS/26-27/536 - ;POS/26-27/536;receipt;DUP_DOUBLE_SUBMIT;DELETE;RCP/26-27/1136
3149;3149;3149;0616f278-8878-45fb-9dd4-ea899dfeb039;0;3149;;;2026-05-07 14:35  vdate 2026-05-07 sale 2026-04-27;f0454844-b167-4193-9ae5-4d6a93bc0b82;Payment received from ANANYA TRIPATHI for invoice POS/26-27/536;POS/26-27/536;receipt;KEEP;KEEP;RCP/26-27/13#df0454844
3900;0;3900;0616f278-8878-45fb-9dd4-ea899dfeb039;0;3900;;;2026-05-30 17:07 cash vdate 2026-05-30 sale 2026-04-29;a8709b62-3b9d-4758-816c-fd69653b777d;Payment received for POS sale POS/26-27/580 - ;POS/26-27/580;receipt;DUP_DOUBLE_SUBMIT;DELETE;RCP/26-27/1134
3900;3900;3900;0616f278-8878-45fb-9dd4-ea899dfeb039;0;3900;;;2026-05-07 14:35  vdate 2026-05-07 sale 2026-04-29;8fe05103-a4b1-4667-bec9-1fd1002c3729;Payment received from ANANYA TRIPATHI for invoice POS/26-27/580;POS/26-27/580;receipt;KEEP;KEEP;RCP/26-27/14#d8fe05103
1500;1500;1500;0616f278-8878-45fb-9dd4-ea899dfeb039;0;1500;;;2026-05-07 14:34  vdate 2026-05-07 sale 2026-04-05;55e3298e-733c-4a95-838b-94c0a8bc8548;Payment received from ANANYA TRIPATHI for invoice POS/26-27/70;POS/26-27/70;receipt;KEEP;KEEP;RCP/26-27/11#d55e3298e
1500;0;1500;0616f278-8878-45fb-9dd4-ea899dfeb039;0;1500;;;2026-05-30 17:08 cash vdate 2026-05-30 sale 2026-04-05;50ec8443-dcdb-4fde-8d16-9e2928d7da28;Payment received for POS sale POS/26-27/70 - ;POS/26-27/70;receipt;DUP_DOUBLE_SUBMIT;DELETE;RCP/26-27/1138
2000;0;2000;1ad6cd52-ce9c-48fd-85e0-12300ddd2a70;0;2000;;;2026-05-30 17:08 cash vdate 2026-05-30 sale 2026-04-21;2a51f673-1518-41cd-ab47-b0698d70c1fe;Payment received for POS sale POS/26-27/416 - ;POS/26-27/416;receipt;DUP_DOUBLE_SUBMIT;DELETE;RCP/26-27/1137
2000;2000;2000;1ad6cd52-ce9c-48fd-85e0-12300ddd2a70;0;2000;;;2026-04-25 21:33  vdate 2026-04-25 sale 2026-04-21;edfea962-1867-40f0-984b-e484f86a7bbf;Payment received for POS sale POS/26-27/416 - ;POS/26-27/416;receipt;KEEP;KEEP;RCP/26-27/6#dedfea962
442;0.005;442.005;1b55c8fa-22cc-4b37-8e11-c6755a8dd1fa;442;441.995;;;2026-07-23 21:14 cash vdate 2026-07-23 sale 2026-06-30;a0a23556-8bd9-4c8f-ac88-e01578e7739a;Payment received for POS sale POS/26-27/1919 - ;POS/26-27/1919;receipt;DUP_TENDER_REKEYED;DELETE;RCP/26-27/3109
1203;0;1203;1b55c8fa-22cc-4b37-8e11-c6755a8dd1fa;1203;1203;;;2026-07-23 21:14 cash vdate 2026-07-23 sale 2026-07-01;25929549-f3cf-4f39-b5fb-f81a8f18f94e;Payment received for POS sale POS/26-27/1971 - ;POS/26-27/1971;receipt;DUP_TENDER_REKEYED;DELETE;RCP/26-27/3110
7972;7972.286999999999;7972.286999999999;1ce7dbea-7da0-4c3b-b805-be5d39cb4779;0;3841.713000000001;;;2026-04-30 13:23 upi vdate 2026-04-30 sale 2026-04-11;ba320b74-7091-40d3-a6bc-48cdac195176;Payment for INV/26-27/157 | Transaction ID: 739030, UPI Date: 27/04/2026;INV/26-27/157;receipt;KEEP;KEEP;RCP/26-27/104-4
3842;0.286999999999;7972.286999999999;1ce7dbea-7da0-4c3b-b805-be5d39cb4779;0;3841.713000000001;;;2026-06-18 12:30 cash vdate 2026-06-18 sale 2026-04-11;426a041c-caf3-4c4b-8086-26c9b5a737d4;Payment for INV/26-27/157;INV/26-27/157;receipt;NON_ECHO_REDUNDANT;HOLD_NON_ECHO_REDUNDANT;RCP/26-27/1878
10500;9500;10500;1f98d2c7-28c2-417a-bdcc-0d41eccb467e;0;1000;;;2026-07-01 15:25 balance_adjustment vdate 2026-07-01 sale 2026-04-20;06a3fae3-f190-4641-87db-04ca908d64c5;phantom_cn_repair_2026 | Cr balance applied to INV/26-27/262 | MAHENOOR KAS;INV/26-27/262;receipt;BALANCE_ADJUSTMENT;HOLD_BALANCE_ADJUSTMENT;RCP/26-27/2422
1000;10500;10500;1f98d2c7-28c2-417a-bdcc-0d41eccb467e;0;1000;;;2026-04-21 20:46 cash vdate 2026-04-21 sale 2026-04-20;40694dc9-2e64-4e34-9633-f31ba1e28edd;Payment received for invoice INV/26-27/262;INV/26-27/262;receipt;KEEP;KEEP;RCP/26-27/326
3100;3050;3050;214db117-3616-4508-ac9f-3fcbb05903e1;0;50;;;2026-03-16 01:16  vdate 2026-03-15 sale 2026-03-14;8db49ead-a5ee-4f7d-8b8e-a0234a15cccc;Payment received for invoice INV/25-26/1229;INV/25-26/1229;receipt;PARTIAL;HOLD_PARTIAL;RCP/25-26/1329
5250;5250;5250;2fcbb26b-e1d5-40aa-a528-a6374cabeb43;0;5250;;;2026-07-01 21:13 upi vdate 2026-07-01 sale 2026-05-26;9a3ffbe6-8627-4a51-885a-22ef33786165;Payment received for invoice INV/26-27/1089 | Received in: ELLANOOR A/C;INV/26-27/1089;receipt;KEEP;KEEP;RCP/26-27/2442
5250;0;5250;2fcbb26b-e1d5-40aa-a528-a6374cabeb43;0;5250;;;2026-07-01 21:13 upi vdate 2026-07-01 sale 2026-05-26;791657cc-d8b9-465f-a226-604883de9f86;Payment received for invoice INV/26-27/1089 | Received in: ELLANOOR A/C;INV/26-27/1089;receipt;DUP_DOUBLE_SUBMIT;DELETE;RCP/26-27/2442#d791657cc
10000;20000;20000;3063c897-8909-40c9-808c-cdbb94344f40;0;10000;;;2026-03-07 14:57  vdate 2026-03-07 sale 2026-03-07;252adbce-fb06-41c4-a6b9-ea3c33a188ec;Payment received for invoice INV/25-26/799;INV/25-26/799;receipt;KEEP;KEEP;RCP/25-26/909
10000;10000;20000;3063c897-8909-40c9-808c-cdbb94344f40;0;10000;;;2026-03-07 14:58  vdate 2026-03-07 sale 2026-03-07;6b99ebd5-d204-4d07-9e97-a3f47d9b0efe;Payment received for invoice INV/25-26/799;INV/25-26/799;receipt;KEEP;KEEP;RCP/25-26/910
5000;0;20000;3063c897-8909-40c9-808c-cdbb94344f40;0;10000;;;2026-03-07 14:58  vdate 2026-03-07 sale 2026-03-07;f0cebadf-9080-4e86-af95-b3020d23d182;Payment received for invoice INV/25-26/799;INV/25-26/799;receipt;NON_ECHO_REDUNDANT;HOLD_NON_ECHO_REDUNDANT;RCP/25-26/911
